0,Pos,0,0,Vel,0,0,theta,0,omega,0,alpha,0
0.1,Pos,0,0,Vel,0.028394275533916,0.0163934426229508,theta,0,omega,0,alpha,2.38095238095238
0.2,Pos,0.0028394275533916,0.00163934426229508,Vel,0.056788551067832,0.0327868852459016,theta,0,omega,0.238095238095238,alpha,2.38095238095238
0.3,Pos,0.00851828266017481,0.00491803278688525,Vel,0.0851828266017481,0.0491803278688525,theta,0.0238095238095238,omega,0.476190476190476,alpha,2.2820979952555
0.4,Pos,0.0170365653203496,0.00983606557377049,Vel,0.113577102135664,0.0655737704918033,theta,0.0714285714285714,omega,0.704400275716026,alpha,2.08056505874531
0.5,Pos,0.028394275533916,0.0163934426229508,Vel,0.14197137766958,0.0819672131147541,theta,0.141868599000174,omega,0.912456781590557,alpha,1.77393651073428
0.6,Pos,0.042591413300874,0.0245901639344262,Vel,0.170365653203496,0.0983606557377049,theta,0.23311427715923,omega,1.08985043266398,alpha,1.36388790088845
0.7,Pos,0.0596279786212236,0.0344262295081967,Vel,0.198759928737412,0.114754098360656,theta,0.342099320425628,omega,1.22623922275283,alpha,0.859545719644366
0.8,Pos,0.0795039714949649,0.0459016393442623,Vel,0.227154204271328,0.131147540983607,theta,0.464723242700911,omega,1.31219379471727,alpha,0.280197738747573
0.9,Pos,0.102219391922098,0.0590163934426229,Vel,0.255548479805244,0.147540983606557,theta,0.595942622172638,omega,1.34021356859202,alpha,-0.344194093199606
1,Pos,0.127774239902622,0.0737704918032787,Vel,0.28394275533916,0.163934426229508,theta,0.72996397903184,omega,1.30579415927206,alpha,-0.975731367643255
1.1,Pos,0.156168515436538,0.0901639344262295,Vel,0.312337030873076,0.180327868852459,theta,0.860543394959047,omega,1.20822102250774,alpha,-1.57430983648383
1.2,Pos,0.187402218523846,0.108196721311475,Vel,0.340731306406992,0.19672131147541,theta,0.98136549720982,omega,1.05079003885935,alpha,-2.10450412785235
1.3,Pos,0.221475349164545,0.127868852459016,Vel,0.369125581940908,0.213114754098361,theta,1.08644450109576,omega,0.840339626074119,alpha,-2.54092904441287
1.4,Pos,0.258387907358636,0.149180327868852,Vel,0.397519857474824,0.229508196721311,theta,1.17047846370317,omega,0.586246721632832,alpha,-2.86999730414749
1.5,Pos,0.298139893106118,0.172131147540984,Vel,0.42591413300874,0.245901639344262,theta,1.22910313586645,omega,0.299246991218084,alpha,-3.08770416048861
1.6,Pos,0.340731306406992,0.19672131147541,Vel,0.454308408542657,0.262295081967213,theta,1.25902783498826,omega,-0.00952342483077734,alpha,-3.19478753977998
1.7,Pos,0.386162147261258,0.222950819672131,Vel,0.482702684076573,0.278688524590164,theta,1.25807549250518,omega,-0.329002178808775,alpha,-3.19142322072658
1.8,Pos,0.434432415668915,0.250819672131147,Vel,0.511096959610489,0.295081967213115,theta,1.2251752746243,omega,-0.648144500881434,alpha,-3.07344123404166
1.9,Pos,0.485542111629964,0.280327868852459,Vel,0.539491235144405,0.311475409836066,theta,1.16036082453616,omega,-0.955488624285599,alpha,-2.83140556426667
2,Pos,0.539491235144405,0.311475409836066,Vel,0.567885510678321,0.327868852459016,theta,1.0648119621076,omega,-1.23862918071227,alpha,-2.45321987448021
2.1,Pos,0.596279786212237,0.344262295081967,Vel,0.596279786212237,0.344262295081967,theta,0.940949044036374,omega,-1.48395116816029,alpha,-1.93018849451789
2.2,Pos,0.65590776483346,0.378688524590164,Vel,0.624674061746153,0.360655737704918,theta,0.792553927220345,omega,-1.67697001761208,alpha,-1.26535379437068
2.3,Pos,0.718375171008076,0.414754098360656,Vel,0.653068337280069,0.377049180327869,theta,0.624856925459138,omega,-1.80350539704914,alpha,-0.481358103111611
2.4,Pos,0.783682004736083,0.452459016393443,Vel,0.681462612813985,0.39344262295082,theta,0.444506385754223,omega,-1.85164120736031,alpha,0.376237875362806
2.5,Pos,0.851828266017481,0.491803278688525,Vel,0.709856888347901,0.409836065573771,theta,0.259342265018193,omega,-1.81401741982402,alpha,1.24376980839697
2.6,Pos,0.922813954852271,0.532786885245902,Vel,0.738251163881817,0.426229508196721,theta,0.0779405230357905,omega,-1.68964043898433,alpha,2.05262825135008
2.7,Pos,0.996639071240453,0.575409836065574,Vel,0.766645439415733,0.442622950819672,theta,-0.0910235208626423,omega,-1.48437761384932,alpha,2.74595229960375
2.8,Pos,1.07330361518203,0.619672131147541,Vel,0.795039714949649,0.459016393442623,theta,-0.239461282247574,omega,-1.20978238388894,alpha,3.29112502980351
2.9,Pos,1.15280758667699,0.665573770491803,Vel,0.823433990483565,0.475409836065574,theta,-0.360439520636469,omega,-0.880669880908594,alpha,3.68240758304262
3,Pos,1.23515098572535,0.713114754098361,Vel,0.851828266017481,0.491803278688525,theta,-0.448506508727328,omega,-0.512429122604331,alpha,3.93368571744704
3.1,Pos,1.3203338123271,0.762295081967213,Vel,0.880222541551397,0.508196721311476,theta,-0.499749420987761,omega,-0.119060550859628,alpha,4.06597892631637
3.2,Pos,1.40835606648224,0.813114754098361,Vel,0.908616817085313,0.524590163934426,theta,-0.511655476073724,omega,0.287537341772009,alpha,4.09520062262473
3.3,Pos,1.49921774819077,0.865573770491803,Vel,0.937011092619229,0.540983606557377,theta,-0.482901741896523,omega,0.697057404034482,alpha,4.02364488486292
3.4,Pos,1.59291885745269,0.919672131147541,Vel,0.965405368153145,0.557377049180328,theta,-0.413196001493075,omega,1.09942189252077,alpha,3.8364931111951
3.5,Pos,1.689459394268,0.975409836065574,Vel,0.993799643687061,0.573770491803279,theta,-0.303253812240998,omega,1.48307120364028,alpha,3.50382670188882
